23.61.127.8
PING 23.61.127.8 (23.61.127.8) 56(84) bytes of data.
64 bytes from 142.250.191.174: icmp_seq=77 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=78 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=79 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=80 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=81 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=82 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=83 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=84 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=85 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=86 ttl=54 time=10.6 ms
64 bytes from 142.250.191.174: icmp_seq=87 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=88 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=89 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=90 ttl=54 time=10.4 ms
64 bytes from 142.250.191.174: icmp_seq=91 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=92 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=93 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=94 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=95 ttl=54 time=10.8 ms
64 bytes from 142.250.191.174: icmp_seq=96 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=97 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=98 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=99 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=100 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=101 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=102 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=103 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=104 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=105 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=106 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=107 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=108 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=109 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=110 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=111 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=112 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=113 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=114 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=115 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=116 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=117 ttl=54 time=10.2 ms
64 bytes from 142.250.191.174: icmp_seq=118 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=119 ttl=54 time=10.3 ms
64 bytes from 142.250.191.174: icmp_seq=120 ttl=54 time=10.3 ms

--- 142.250.191.174 ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119152ms
rtt min/avg/max/mdev = 10.231/10.327/11.035/0.145 ms
18.160.199.67
PING 18.160.199.67 (18.160.199.67) 56(84) bytes of data.
64 bytes from 18.160.199.67: icmp_seq=1 ttl=244 time=9.30 ms
64 bytes from 18.160.199.67: icmp_seq=2 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=3 ttl=244 time=9.33 ms
64 bytes from 18.160.199.67: icmp_seq=4 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=5 ttl=244 time=9.45 ms
64 bytes from 18.160.199.67: icmp_seq=6 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=7 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=8 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=9 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=10 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=11 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=12 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=13 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=14 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=15 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=16 ttl=244 time=9.33 ms
64 bytes from 18.160.199.67: icmp_seq=17 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=18 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=19 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=20 ttl=244 time=9.45 ms
64 bytes from 18.160.199.67: icmp_seq=21 ttl=244 time=9.34 ms
64 bytes from 18.160.199.67: icmp_seq=22 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=23 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=24 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=25 ttl=244 time=9.45 ms
64 bytes from 18.160.199.67: icmp_seq=26 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=27 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=28 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=29 ttl=244 time=9.42 ms
64 bytes from 18.160.199.67: icmp_seq=30 ttl=244 time=9.64 ms
64 bytes from 18.160.199.67: icmp_seq=31 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=32 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=33 ttl=244 time=9.33 ms
64 bytes from 18.160.199.67: icmp_seq=34 ttl=244 time=9.49 ms
64 bytes from 18.160.199.67: icmp_seq=35 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=36 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=37 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=38 ttl=244 time=9.33 ms
64 bytes from 18.160.199.67: icmp_seq=39 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=40 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=41 ttl=244 time=9.51 ms
64 bytes from 18.160.199.67: icmp_seq=42 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=43 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=44 ttl=244 time=9.42 ms
64 bytes from 18.160.199.67: icmp_seq=45 ttl=244 time=9.43 ms
