23.61.127.8
PING 23.61.127.8 (23.61.127.8) 56(84) bytes of data.
64 bytes from 142.250.191.174: icmp_seq=51 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=52 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=53 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=54 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=55 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=56 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=57 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=58 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=59 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=60 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=61 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=62 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=63 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=64 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=65 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=66 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=67 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=68 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=69 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=70 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=71 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=72 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=73 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=74 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=75 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=76 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=77 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=78 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=79 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=80 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=81 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=82 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=83 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=84 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=85 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=86 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=87 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=88 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=89 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=90 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=91 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=92 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=93 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=94 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=95 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=96 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=97 ttl=114 time=11.3 ms
64 bytes from 142.250.191.174: icmp_seq=98 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=99 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=100 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=101 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=102 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=103 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=104 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=105 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=106 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=107 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=108 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=109 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=110 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=111 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=112 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=113 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=114 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=115 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=116 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=117 ttl=114 time=11.5 ms
64 bytes from 142.250.191.174: icmp_seq=118 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=119 ttl=114 time=11.4 ms
64 bytes from 142.250.191.174: icmp_seq=120 ttl=114 time=11.4 ms

--- 142.250.191.174 ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119167ms
rtt min/avg/max/mdev = 11.383/11.470/11.589/0.059 ms
18.160.199.67
PING 18.160.199.67 (18.160.199.67) 56(84) bytes of data.
64 bytes from 18.160.199.67: icmp_seq=1 ttl=244 time=9.32 ms
64 bytes from 18.160.199.67: icmp_seq=2 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=3 ttl=244 time=9.33 ms
64 bytes from 18.160.199.67: icmp_seq=4 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=5 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=6 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=7 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=8 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=9 ttl=244 time=9.32 ms
64 bytes from 18.160.199.67: icmp_seq=10 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=11 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=12 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=13 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=14 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=15 ttl=244 time=9.42 ms
64 bytes from 18.160.199.67: icmp_seq=16 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=17 ttl=244 time=9.34 ms
64 bytes from 18.160.199.67: icmp_seq=18 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=19 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=20 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=21 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=22 ttl=244 time=9.50 ms
64 bytes from 18.160.199.67: icmp_seq=23 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=24 ttl=244 time=9.58 ms
64 bytes from 18.160.199.67: icmp_seq=25 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=26 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=27 ttl=244 time=9.46 ms
64 bytes from 18.160.199.67: icmp_seq=28 ttl=244 time=9.33 ms
64 bytes from 18.160.199.67: icmp_seq=29 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=30 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=31 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=32 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=33 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=34 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=35 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=36 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=37 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=38 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=39 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=40 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=41 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=42 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=43 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=44 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=45 ttl=244 time=12.1 ms
64 bytes from 18.160.199.67: icmp_seq=46 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=47 ttl=244 time=9.55 ms
64 bytes from 18.160.199.67: icmp_seq=48 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=49 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=50 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=51 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=52 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=53 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=54 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=55 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=56 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=57 ttl=244 time=9.34 ms
64 bytes from 18.160.199.67: icmp_seq=58 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=59 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=60 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=61 ttl=244 time=9.51 ms
64 bytes from 18.160.199.67: icmp_seq=62 ttl=244 time=9.33 ms
64 bytes from 18.160.199.67: icmp_seq=63 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=64 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=65 ttl=244 time=9.52 ms
64 bytes from 18.160.199.67: icmp_seq=66 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=67 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=68 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=69 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=70 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=71 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=72 ttl=244 time=9.42 ms
64 bytes from 18.160.199.67: icmp_seq=73 ttl=244 time=9.46 ms
64 bytes from 18.160.199.67: icmp_seq=74 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=75 ttl=244 time=9.42 ms
64 bytes from 18.160.199.67: icmp_seq=76 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=77 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=78 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=79 ttl=244 time=9.34 ms
64 bytes from 18.160.199.67: icmp_seq=80 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=81 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=82 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=83 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=84 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=85 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=86 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=87 ttl=244 time=9.45 ms
64 bytes from 18.160.199.67: icmp_seq=88 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=89 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=90 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=91 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=92 ttl=244 time=9.42 ms
64 bytes from 18.160.199.67: icmp_seq=93 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=94 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=95 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=96 ttl=244 time=9.91 ms
64 bytes from 18.160.199.67: icmp_seq=97 ttl=244 time=9.32 ms
64 bytes from 18.160.199.67: icmp_seq=98 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=99 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=100 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=101 ttl=244 time=9.47 ms
64 bytes from 18.160.199.67: icmp_seq=102 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=103 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=104 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=105 ttl=244 time=9.42 ms
64 bytes from 18.160.199.67: icmp_seq=106 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=107 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=108 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=109 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=110 ttl=244 time=9.40 ms
